GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
RevisionPoo,Exceptions,AnimalDansMauvaisSecteurException,10,0,0,0,5,0,2,0,2,0
RevisionPoo,Exceptions,LimiteVisiteurExpetion,7,0,0,0,4,0,2,0,2,0
RevisionPoo,zoo,Zoo,119,58,16,4,25,14,17,6,8,5
RevisionPoo,zoo,TypeAnimal,0,34,0,0,0,2,0,1,0,1
RevisionPoo,zoo,SecteurComparator,9,0,0,0,2,0,2,0,2,0
RevisionPoo,zoo,App,333,0,16,0,110,0,18,0,7,0
RevisionPoo,zoo,Secteur,32,27,0,0,11,8,7,4,7,4
RevisionPoo,zoo,Animal,23,3,0,0,10,2,5,1,5,1
RevisionPoo,zoo,Chat,0,9,0,0,0,4,0,1,0,1
RevisionPoo,zoo,Chien,9,0,0,0,4,0,1,0,1,0
